Region;year;date;id;Abandono
Castilla y León;2009.0;2019-11-04;Castilla y León2009.0;26.9081
Castilla-La Mancha;2009.0;2019-11-04;Castilla - La Mancha2009.0;34.6484
Cataluña;2009.0;2019-11-04;Cataluña2009.0;31.9042
Comunitat Valenciana;2009.0;2019-11-04;Valencia2009.0;31.9357
Extremadura;2009.0;2019-11-04;Extremadura2009.0;34.0991
Galicia;2009.0;2019-11-04;Galicia2009.0;25.8348
Madrid, Comunidad de;2009.0;2019-11-04;Madrid2009.0;26.1747
Murcia, Región de;2009.0;2019-11-04;Murcia2009.0;36.796
Navarra, Comunidad Foral de (3);2009.0;2019-11-04;Navarra2009.0;18.7388
País Vasco;2009.0;2019-11-04;País Vasco2009.0;16.5903
Rioja, La (3);2009.0;2019-11-04;Rioja2009.0;31.9439
Ceuta (3);2009.0;2019-11-04;Ceuta2009.0;34.1
Melilla (3);2009.0;2019-11-04;Melilla2009.0;36.7
TOTAL;2010.0;2019-11-04;Nacional2010.0;28.1771
Andalucía;2010.0;2019-11-04;Andalucía2010.0;34.6384
Aragón;2010.0;2019-11-04;Aragón2010.0;23.7549
Asturias, Principado de;2010.0;2019-11-04;Asturias2010.0;22.2401
Balears, Illes;2010.0;2019-11-04;Balears2010.0;36.4631
Canarias;2010.0;2019-11-04;Canarias2010.0;29.7941
Cantabria (3);2010.0;2019-11-04;Cantabria2010.0;23.872
Castilla y León;2010.0;2019-11-04;Castilla y León2010.0;23.3922
Castilla-La Mancha;2010.0;2019-11-04;Castilla - La Mancha2010.0;33.4157
Cataluña;2010.0;2019-11-04;Cataluña2010.0;28.929
Comunitat Valenciana;2010.0;2019-11-04;Valencia2010.0;28.3616
Extremadura;2010.0;2019-11-04;Extremadura2010.0;31.5922
Galicia;2010.0;2019-11-04;Galicia2010.0;22.756
Madrid, Comunidad de;2010.0;2019-11-04;Madrid2010.0;22.2614
Murcia, Región de;2010.0;2019-11-04;Murcia2010.0;34.9174
Navarra, Comunidad Foral de (3);2010.0;2019-11-04;Navarra2010.0;16.8472
País Vasco;2010.0;2019-11-04;País Vasco2010.0;13.1406
Rioja, La (3);2010.0;2019-11-04;Rioja2010.0;27.2363
Ceuta (3);2010.0;2019-11-04;Ceuta2010.0;45.8
Melilla (3);2010.0;2019-11-04;Melilla2010.0;35.4
TOTAL;2011.0;2019-11-04;Nacional2011.0;26.3237
Andalucía;2011.0;2019-11-04;Andalucía2011.0;32.1405
Aragón;2011.0;2019-11-04;Aragón2011.0;22.7614
Asturias, Principado de;2011.0;2019-11-04;Asturias2011.0;21.8841
Balears, Illes;2011.0;2019-11-04;Balears2011.0;29.666
Canarias;2011.0;2019-11-04;Canarias2011.0;30.8634
Cantabria (3);2011.0;2019-11-04;Cantabria2011.0;21.4019
Castilla y León;2011.0;2019-11-04;Castilla y León2011.0;27.4956
Castilla-La Mancha;2011.0;2019-11-04;Castilla - La Mancha2011.0;31.5467
Cataluña;2011.0;2019-11-04;Cataluña2011.0;26.1852
Comunitat Valenciana;2011.0;2019-11-04;Valencia2011.0;26.6949
Extremadura;2011.0;2019-11-04;Extremadura2011.0;30.0983
Galicia;2011.0;2019-11-04;Galicia2011.0;20.414
Madrid, Comunidad de;2011.0;2019-11-04;Madrid2011.0;19.5178
Murcia, Región de;2011.0;2019-11-04;Murcia2011.0;30.303
Navarra, Comunidad Foral de (3);2011.0;2019-11-04;Navarra2011.0;12.0314
País Vasco;2011.0;2019-11-04;País Vasco2011.0;13.8256
Rioja, La (3);2011.0;2019-11-04;Rioja2011.0;30.6113
Ceuta (3);2011.0;2019-11-04;Ceuta2011.0;38.9
Melilla (3);2011.0;2019-11-04;Melilla2011.0;19.3
TOTAL;2012.0;2019-11-04;Nacional2012.0;24.7325
Andalucía;2012.0;2019-11-04;Andalucía2012.0;28.7719
Aragón;2012.0;2019-11-04;Aragón2012.0;20.4236
Asturias, Principado de;2012.0;2019-11-04;Asturias2012.0;19.8441
Balears, Illes;2012.0;2019-11-04;Balears2012.0;28.9323
Canarias;2012.0;2019-11-04;Canarias2012.0;28.0308
Cantabria (3);2012.0;2019-11-04;Cantabria2012.0;14.168
Castilla y León;2012.0;2019-11-04;Castilla y León2012.0;21.7002
Castilla-La Mancha;2012.0;2019-11-04;Castilla - La Mancha2012.0;27.5443
Cataluña;2012.0;2019-11-04;Cataluña2012.0;24.2126
Comunitat Valenciana;2012.0;2019-11-04;Valencia2012.0;25.858
Extremadura;2012.0;2019-11-04;Extremadura2012.0;32.6293
Galicia;2012.0;2019-11-04;Galicia2012.0;22.7258
Madrid, Comunidad de;2012.0;2019-11-04;Madrid2012.0;21.5235
Murcia, Región de;2012.0;2019-11-04;Murcia2012.0;26.9288
Navarra, Comunidad Foral de (3);2012.0;2019-11-04;Navarra2012.0;12.951
País Vasco;2012.0;2019-11-04;País Vasco2012.0;12.3818
Rioja, La (3);2012.0;2019-11-04;Rioja2012.0;24.2964
Ceuta (3);2012.0;2019-11-04;Ceuta2012.0;38.5
Melilla (3);2012.0;2019-11-04;Melilla2012.0;32.6
TOTAL;2013.0;2019-11-04;Nacional2013.0;23.5694
Andalucía;2013.0;2019-11-04;Andalucía2013.0;28.7481
Aragón;2013.0;2019-11-04;Aragón2013.0;18.8905
Asturias, Principado de;2013.0;2019-11-04;Asturias2013.0;19.0888
Balears, Illes;2013.0;2019-11-04;Balears2013.0;29.7607
Canarias;2013.0;2019-11-04;Canarias2013.0;27.4687
Cantabria (3);2013.0;2019-11-04;Cantabria2013.0;12.1238
Castilla y León;2013.0;2019-11-04;Castilla y León2013.0;19.2139
Castilla-La Mancha;2013.0;2019-11-04;Castilla - La Mancha2013.0;27.3902
Cataluña;2013.0;2019-11-04;Cataluña2013.0;24.7196
