Region;year;date;id;TasaParo
Rioja;2014;2019-10-28;Rioja2014;44.82
Ceuta;2014;2019-10-28;Ceuta2014;67.47
Melilla;2014;2019-10-28;Melilla2014;57.26
Nacional;2013;2019-10-28;Nacional2013;55.48
Andalucía;2013;2019-10-28;Andalucía2013;65.99
Aragón;2013;2019-10-28;Aragón2013;50.24
Asturias;2013;2019-10-28;Asturias2013;54.97
Balears;2013;2019-10-28;Balears2013;45.17
Canarias;2013;2019-10-28;Canarias2013;65.26
Cantabria;2013;2019-10-28;Cantabria2013;52.48
Castilla y León;2013;2019-10-28;Castilla y León2013;49.72
Castilla - La Mancha;2013;2019-10-28;Castilla - La Mancha2013;61.5
Cataluña;2013;2019-10-28;Cataluña2013;50.2
Comunitat Valenciana;2013;2019-10-28;Valencia2013;56.27
Extremadura;2013;2019-10-28;Extremadura2013;61.49
Galicia;2013;2019-10-28;Galicia2013;49.87
Madrid;2013;2019-10-28;Madrid2013;48.8
Murcia;2013;2019-10-28;Murcia2013;53.46
Navarra;2013;2019-10-28;Navarra2013;48.27
País Vasco;2013;2019-10-28;País Vasco2013;46.52
Rioja;2013;2019-10-28;Rioja2013;47.98
Ceuta;2013;2019-10-28;Ceuta2013;73.36
Melilla;2013;2019-10-28;Melilla2013;53.99
Nacional;2012;2019-10-28;Nacional2012;52.86
Andalucía;2012;2019-10-28;Andalucía2012;61.93
Aragón;2012;2019-10-28;Aragón2012;42.37
Asturias;2012;2019-10-28;Asturias2012;48.93
Balears;2012;2019-10-28;Balears2012;48.93
Canarias;2012;2019-10-28;Canarias2012;62.29
Cantabria;2012;2019-10-28;Cantabria2012;41.68
Castilla y León;2012;2019-10-28;Castilla y León2012;48.11
Castilla - La Mancha;2012;2019-10-28;Castilla - La Mancha2012;54.54
Cataluña;2012;2019-10-28;Cataluña2012;50.37
Comunitat Valenciana;2012;2019-10-28;Valencia2012;52.86
Extremadura;2012;2019-10-28;Extremadura2012;61.92
Galicia;2012;2019-10-28;Galicia2012;45.22
Madrid;2012;2019-10-28;Madrid2012;48.05
Murcia;2012;2019-10-28;Murcia2012;50.42
Navarra;2012;2019-10-28;Navarra2012;40.13
País Vasco;2012;2019-10-28;País Vasco2012;42.72
Rioja;2012;2019-10-28;Rioja2012;50.13
Ceuta;2012;2019-10-28;Ceuta2012;70.4
Melilla;2012;2019-10-28;Melilla2012;60.13
Nacional;2011;2019-10-28;Nacional2011;46.19
Andalucía;2011;2019-10-28;Andalucía2011;54.08
Aragón;2011;2019-10-28;Aragón2011;39.88
Asturias;2011;2019-10-28;Asturias2011;48.49
Balears;2011;2019-10-28;Balears2011;42.68
Canarias;2011;2019-10-28;Canarias2011;50.8
Cantabria;2011;2019-10-28;Cantabria2011;40.58
Castilla y León;2011;2019-10-28;Castilla y León2011;38.57
Castilla - La Mancha;2011;2019-10-28;Castilla - La Mancha2011;47.71
Cataluña;2011;2019-10-28;Cataluña2011;43.76
Comunitat Valenciana;2011;2019-10-28;Valencia2011;51.38
Extremadura;2011;2019-10-28;Extremadura2011;50.98
Galicia;2011;2019-10-28;Galicia2011;37.7
Madrid;2011;2019-10-28;Madrid2011;40.84
Murcia;2011;2019-10-28;Murcia2011;48.05
Navarra;2011;2019-10-28;Navarra2011;29.34
País Vasco;2011;2019-10-28;País Vasco2011;34.1
Rioja;2011;2019-10-28;Rioja2011;46.14
Ceuta;2011;2019-10-28;Ceuta2011;63.91
Melilla;2011;2019-10-28;Melilla2011;63.81
Nacional;2010;2019-10-28;Nacional2010;41.48
Andalucía;2010;2019-10-28;Andalucía2010;49.91
Aragón;2010;2019-10-28;Aragón2010;31.88
Asturias;2010;2019-10-28;Asturias2010;37.3
Balears;2010;2019-10-28;Balears2010;42.68
Canarias;2010;2019-10-28;Canarias2010;51.98
Cantabria;2010;2019-10-28;Cantabria2010;36.09
Castilla y León;2010;2019-10-28;Castilla y León2010;33.99
Castilla - La Mancha;2010;2019-10-28;Castilla - La Mancha2010;42.89
Cataluña;2010;2019-10-28;Cataluña2010;39.1
Comunitat Valenciana;2010;2019-10-28;Valencia2010;42.19
Extremadura;2010;2019-10-28;Extremadura2010;45.76
Galicia;2010;2019-10-28;Galicia2010;35.4
Madrid;2010;2019-10-28;Madrid2010;37.09
Murcia;2010;2019-10-28;Murcia2010;39.43
Navarra;2010;2019-10-28;Navarra2010;30.38
