fila,subfila,columna,subcolumna,valor
"Navarra, Comunidad Foral de",,2002,EXPORT,"4430440,72"
País Vasco,,2002,EXPORT,"11399144,30"
"Rioja, La",,2002,EXPORT,"881209,73"
Ceuta,,2002,EXPORT,"92697,60"
Melilla,,2002,EXPORT,"427,22"
No determinado,,2002,EXPORT,"2238677,82"
Andalucía,,2002,IMPORT,"11031590,76"
Aragón,,2002,IMPORT,"5330995,66"
"Asturias, Principado de",,2002,IMPORT,"2160318,03"
"Balears, Illes",,2002,IMPORT,"1760281,16"
Canarias,,2002,IMPORT,"3297918,97"
Cantabria,,2002,IMPORT,"1461526,69"
Castilla y León,,2002,IMPORT,"7798748,77"
Castilla-La Mancha,,2002,IMPORT,"3868390,03"
Cataluña,,2002,IMPORT,"51616408,78"
Comunitat Valenciana,,2002,IMPORT,"13974677,07"
Extremadura,,2002,IMPORT,"442763,46"
Galicia,,2002,IMPORT,"9167012,96"
"Madrid, Comunidad de",,2002,IMPORT,"42573676,26"
"Murcia, Región de",,2002,IMPORT,"4841839,89"
"Navarra, Comunidad Foral de",,2002,IMPORT,"4086030,78"
País Vasco,,2002,IMPORT,"10168495,47"
"Rioja, La",,2002,IMPORT,"686884,58"
Ceuta,,2002,IMPORT,"199560,59"
Melilla,,2002,IMPORT,"175823,80"
No determinado,,2002,IMPORT,"624922,47"
Andalucía,,2003,EXPORT,"11205003,98"
Aragón,,2003,EXPORT,"6867606,40"
"Asturias, Principado de",,2003,EXPORT,"2107148,16"
"Balears, Illes",,2003,EXPORT,"966829,11"
Canarias,,2003,EXPORT,"727149,24"
Cantabria,,2003,EXPORT,"1443738,09"
Castilla y León,,2003,EXPORT,"8652513,77"
Castilla-La Mancha,,2003,EXPORT,"2199639,69"
Cataluña,,2003,EXPORT,"37276560,41"
Comunitat Valenciana,,2003,EXPORT,"16756051,71"
Extremadura,,2003,EXPORT,"1174937,36"
Galicia,,2003,EXPORT,"9957424,07"
"Madrid, Comunidad de",,2003,EXPORT,"14818368,57"
"Murcia, Región de",,2003,EXPORT,"4003903,78"
"Navarra, Comunidad Foral de",,2003,EXPORT,"5104122,07"
País Vasco,,2003,EXPORT,"11435891,81"
"Rioja, La",,2003,EXPORT,"891502,56"
Ceuta,,2003,EXPORT,"90183,50"
Melilla,,2003,EXPORT,"2853,55"
No determinado,,2003,EXPORT,"2437618,88"
Andalucía,,2003,IMPORT,"12087405,41"
Aragón,,2003,IMPORT,"6066979,56"
"Asturias, Principado de",,2003,IMPORT,"2156153,15"
"Balears, Illes",,2003,IMPORT,"1758552,70"
Canarias,,2003,IMPORT,"3652458,05"
Cantabria,,2003,IMPORT,"1678623,04"
Castilla y León,,2003,IMPORT,"8077853,40"
Castilla-La Mancha,,2003,IMPORT,"4510586,10"
Cataluña,,2003,IMPORT,"54033177,95"
Comunitat Valenciana,,2003,IMPORT,"14567140,07"
Extremadura,,2003,IMPORT,"552428,38"
Galicia,,2003,IMPORT,"10244554,39"
"Madrid, Comunidad de",,2003,IMPORT,"44161341,18"
