Project;Id;DeadlineDate;Status;tags;keywords
b'Training and Education on Quantum Technologies';b'FETFLAG-07-2020';b'2019/11/13';b'Open';"b""['FET flagship', 'Quantum Technologies']""";"b""['Educational sciences', 'Computer and information sciences', 'Physical sciences', 'Conducting educational research']"""
b'International Cooperation on HPC';b'FETHPC-04-2020';b'2020/04/22';b'Forthcoming';b'';b''
b'FET-Open Challenging Current Thinking';b'FETOPEN-01-2018-2019-2020';b'2018/05/16';b'Open';"b""['Interdisciplinarity', 'Civil engineering', 'Science-and-technology research', 'High-Risk research', 'Aeronautics']""";"b""['Other social sciences', 'Basic medicine', 'Other humanities', 'Space', 'Arts (arts, history of arts, performing arts, musi', 'Industrial biotechnology', 'Security', 'Environmental engineering', 'Health sciences', 'Economics and Business', 'Other natural sciences', 'Psychology', 'Philosophy, Ethics and Religion', 'Earth and related environmental sciences', 'Other engineering and technologies', 'Languages and Literature', 'Sociology', 'Chemical engineering', 'Mathematics', 'Medical engineering', 'Medical biotechnology', 'Social and economic geography', 'Computer and information sciences', 'Electrical engineering, Electronic engineering, In', 'Chemical sciences', 'Environmental biotechnology', 'Materials engineering', 'Market-creating innovation', 'Political science', 'Mechanical engineering', 'Agricultural biotechnology', 'Physical sciences', 'Nano-technology', 'Biological sciences', 'History and Archaeology', 'Law', 'Educational sciences', 'Media and communications']"""
b'FET Innovation Launchpad';b'FETOPEN-03-2018-2019-2020';b'2020/10/14';b'Open';b'';"b""['Innovation management', 'Technology management', 'Market-creating innovation', 'Financial & Investment management']"""
b'Neuromorphic computing technologies ';b'FETPROACT-09-2020';b'2020/04/22';b'Forthcoming';"b""['bio-inspiration', 'Neuromorphic', 'Interdisciplinarity']""";"b""['Nano-technology', 'Computer hardware and architecture', 'Materials engineering', 'Unconventional computing']"""
b'FET Proactive: emerging paradigms and communities';b'FETPROACT-EIC-05-2019';b'2019/11/13';b'Open';"b""['compact energy storage', 'Artificial tissues', 'Energy storage', 'Biorobotics', 'implants', 'High-Risk research', 'Aeronautics', 'Artificial organs', 'Artificial Intelligence', 'Future technologies', 'EIC Pilot', 'Interdisciplinarity', 'Explainable AI', 'EIC', 'Pathfinder', 'AI', 'European Innovation Council']""";"b""['Chemical sciences', 'Agricultural biotechnology', 'Artificial intelligence, intelligent systems, mult', 'Energy storage', 'Educational sciences', 'Electrical engineering, Electronic engineering, In', 'Other engineering and technologies', 'Biological sciences', 'Basic medicine', 'Medical biotechnology', 'Space', 'Technology management', 'Nano-technology', 'Mathematics', 'Other medical sciences', 'Biomaterials (as related to medical implants, devi', 'Market-creating innovation', 'Other natural sciences', 'Industrial biotechnology', 'Physical sciences', 'Chemical engineering', 'Medical engineering', 'Materials engineering', 'Computer and information sciences', 'Energy storage technologies', 'Innovation management', 'Health sciences', 'Arts (arts, history of arts, performing arts, musi', 'Other social sciences']"""
b'EIC Transition to Innovation Activities';b'FETPROACT-EIC-06-2019';b'2019/11/13';b'Open';"b""['disruptive innovation', 'Pathfinder', 'European Innovation Council', 'EIC Pilot', 'Interdisciplinarity', 'EIC', 'Science-and-technology research', 'High-Risk research']""";"b""['Technological innovation', 'Earth and related environmental sciences', 'Human computer interaction and interface, visualiz', 'Other natural sciences', 'Nano-technology', 'Electrical engineering, Electronic engineering, In', 'Market-creating innovation', 'Energy storage', 'Energy systems (production, distribution, applicat', 'Artificial intelligence, intelligent systems, mult', 'Interaction, Multimodal, Brain-Computer-Interfaces', 'Environmental engineering', 'Technology management', 'Technology commercialisation', 'Technology development', 'Micro- and nanoelectronics, optoelectronics', 'Innovation management', 'Knowledge and Technology transfer', 'Chemical sciences', 'Computer and information sciences', 'Medical biotechnology']"""
b'FET Proactive: emerging paradigms and communities';b'FETPROACT-EIC-07-2020';b'2020/04/22';b'Forthcoming';"b""['Pathfinder', 'EIC Pilot', 'Interdisciplinarity', 'European Innovation Council', 'EIC']""";"b""['Medical engineering', 'Nano-technology', 'Medical biotechnology', 'Physical sciences', 'Computer and information sciences', 'Biological sciences', 'Human computer interaction and interface, visualiz']"""
b'Environmental Intelligence';b'FETPROACT-EIC-08-2020';b'2020/04/22';b'Forthcoming';"b""['EIC', 'EIC Pilot', 'Interdisciplinarity', 'European Innovation Council', 'Pathfinder']""";"b""['Water resources', 'Media and communications', 'Geosciences, multidisciplinary', 'Cyber-physical systems', 'Ethics in research and innovation', 'Ocean', 'Psychology', 'Simulation engineering and modelling', 'Climatic research', 'Sociology', 'Environmental sciences', 'Social sciences, interdisciplinary', 'Environmental engineering']"""
b'Strengthening the European agro-ecological research and innovation ecosystem';b'FNR-01-2020';b'2020/01/22';b'Open';"b""['Network', 'Demonstration farm', 'Experimental farm', 'Living laboratory', 'Research infrastructure', 'Living lab']""";"b""['Agro-forestry', 'Organic farming', 'Soil functions', 'Soil biodiversity', 'Agrobiodiversity', 'Agroecology', 'Open innovation', 'Ecological intensification', 'Soil ecology', 'Soil improvement']"""
b'Developing long-term monitoring and evaluation frameworks for the Common Agricultural Policy';b'FNR-02-2020';b'2020/01/22';b'Open';"b""['CAP', 'Eurogeoss', 'Common Agricultural Policy']""";"b""['Water resources', 'Agriculture', 'Precision agriculture', 'Geo-information and spatial data analysis', 'Terrestrial ecology, land cover change', 'Earth Observation / Services and applications', 'Farm economics', 'Networks (communication networks, sensor networks,', 'Agricultural economics', 'Spatial development and architecture, land use, re', 'Earth observations from space/remote sensing', 'S3 - Land monitoring (Copernicus service)']"""
b'A comprehensive vision for urban agriculture';b'FNR-03-2020';b'2020/01/22';b'Open';b'';"b""['Urban agriculture', 'Urbanization and urban planning, cities', 'Spatial development and architecture, land use, re', 'Urban studies (Planning and development)', 'Urban and regional economics']"""
b'Towards a European research and innovation roadmap on soils and land management ';b'FNR-04-2020';b'2020/01/22';b'Open';"b""['Land management', 'Soil carbon', 'Carbon sequestration']""";"b""['Soil biology', 'Soil monitoring', 'Soil biodiversity', 'Soil science', 'Forest soils', 'Soil management', 'Soil functions', 'Soil remediation', 'Soil erosion', 'Ecosystem services provided by soils', 'Soil ecology']"""
b'Husbandry for quality and sustainability';b'FNR-05-2020';b'2020/01/22';b'Open';"b""['Life cycle assessment', 'Intensive husbandry', 'Pasture', 'Organoleptic quality', 'Extensive husbandry', 'Product differentiation']""";"b""['Animal welfare', 'Animal and Dairy science', 'Pig breeding', 'Farm economics', 'Aviculture', 'Animal breeding', 'Poultry breeding', 'Bovidae', 'Husbandry', 'Animal nutrition', 'Sheep and goats breeding']"""
b'Supporting the food safety systems of the future';b'FNR-08-2020';b'2020/01/22';b'Open';"b""['aquaculture and fisheries', 'Food hygiene', 'Coastal', 'trans-national networks', 'ocean', 'Food safety', 'food authenticity', 'citizens engagement', 'waste management', 'Future food safety', 'general food law', 'ocean-food nexus', 'food traceability', 'risk communication', 'Bioeconomy']""";"b""['Emerging Epidemics', 'Reference Methodology', 'Poisoning', 'Developmental toxicity', 'Agricultural engineering, food safety', 'Food safety', 'Seafood quality and safety', 'Water resources', 'Public health', 'Standardisation', 'Acute toxicity', 'Environmental health', 'Environment, fisheries and aquaculture interaction', 'Pathogen agents', 'Aquaculture, fisheries', 'Blue Bioeconomy', 'Ocean', 'Risk assessment', 'Network infrastructures', 'Knowledge infrastructure', 'Food and drink processing', 'Chronic toxicity', 'Antimicrobial resistance']"""
b'Public engagement for the Bioeconomy';b'FNR-10-2020';b'2020/01/22';b'Open';b'';b''
b'Prospecting aquatic and terrestrial natural biological resources for biologically active compounds';b'FNR-11-2020';b'2020/01/22';b'Open';"b""['Coastal', 'Bioeconomy']""";"b""['Ocean', 'Environmental biotechnology, bioremediation, biode', 'Applied genetic engineering, transgenic organisms,', 'Bioprocessing technologies (industrial processes r', 'Agriculture, Forestry, and Fisheries', 'Marine biodiversity', 'Medicinal plants', 'Industrial bioengineering', 'Agricultural biotechnology and food biotechnology', 'Marine Biotechnology', 'Synthetic biology, chemical biology and new bio-en', 'Marine Environment', 'Bioproducts (products that are manufactured using', 'Seafood biotechnology', 'Biodiscovery of marine organisms', 'Biotechnology (non-medical), bioreactors, applied', 'Downstream applications of marine biotechnology', 'Agricultural biotechnology', 'Blue biotechnology']"""
b'Industrial microbiomes  learning from nature';b'FNR-12-2020';b'2020/01/22';b'Open';"b""['microbiome', 'bio-based']""";"b""['Microbiology', 'Molecular biology', 'Resources efficiency', 'Industrial biotechnology', 'Bioproducts (products that are manufactured using', 'Life sciences', 'Network infrastructures', 'Biochemistry and molecular biology']"""
b'Enzymes for more environment-friendly consumer products';b'FNR-16-2020';b'2020/01/22';b'Open';"b""['bio-based industries', 'biocatalyst', 'bio-based product', 'consumer products', 'biotransformation', 'industrial biotechnology', 'cosumer goods', 'environmental sustainability', 'biocatalysis', 'green chemistry']""";"b""['Bioproducts (products that are manufactured using', 'Biological sciences', 'Bioprocessing technologies (industrial processes r', 'Environmentally Friendly Factory Processes', 'Industrial biotechnology', 'Environmental sciences', 'Environmental protection']"""
b'Sustainability of bio-based products  international governance aspects and market update';b'FNR-18-2020';b'2020/01/22';b'Open';b'';"b""['Biomass CHP', 'Forestry', 'Related to regional development', 'Environment, resources and sustainability', 'Environmental impact assessment', 'Impact Assessment', 'Agriculture, Forestry, and Fisheries', 'Regional development', 'Supply chain management', 'Bioproducts (products that are manufactured using', 'Agriculture, Rural Development, Fisheries']"""
b'Centres/Networks of European research and innovation';b'GOVERNANCE-20-2020';b'2020/03/12';b'Forthcoming';"b""['innovation partner', 'India and developing technology', 'network of incubators and accelerators', 'European technology', 'research and innovation', 'internationalisation of technolgies and know-how', 'Africa and developing technology', 'technology and innovation']""";"b""['Innovation policy', 'Technology management', 'Business management', 'Policy development', 'Policy & strategy', 'Experimentally-driven research and innovation', 'Technology development', 'EU research policy /Research policies in the EU', 'Innovation management', 'Knowledge and Technology transfer', 'Digital Social Innovation', 'Innovation methodologies', 'Political systems and institutions, governance', 'Responsible Research and Innovation (RRI)']"""
b'Support to the networking of national R&I Think Tanks for helping co-shape and share a common perspective on R&I policy across Europe ';b'GOVERNANCE-23-2020';b'2020/03/12';b'Forthcoming';"b""['governance', 'EU  policy-making', 'EU research and innovation policy', 'new R&I policy concepts', 'Think Tanks', 'R&I policy', 'national policy making']""";"b""['Innovation policy', 'Research integrity and research misconduct', 'Responsible Research and Innovation (RRI)', 'EU research policy /Research policies in the EU', 'Experimentally-driven research and innovation']"""
"b""EIC Horizon Prize for 'Affordable High-Tech for Humanitarian Aid'  """;b'HumanitarianAid-EICPrize-2020';b'2020/01/15';b'Open';"b""['humanitarian aid', 'Sanitation', 'Health', 'hygiene', 'Cooperation', 'cooling', 'Additive manufacturing', 'sanitation', 'energy', 'food', 'Multi-stakeholders approach', 'frugal innovation', 'Materials', 'Nanotechnologies', 'advanced technologies', 'heating', 'frugal', 'open innovation', 'medical care', 'market-creating innovation', 'shelter, water', 'innovative solutions']""";"b""['Nano-materials (production and properties)', 'Medical engineering', 'Ethics in engineering and technologies', 'Materials engineering']"""
b'Disruptive photonics technologies';b'ICT-36-2020';b'2020/04/22';b'Forthcoming';"b""['holography', 'sensing', 'imaging', 'photonics packaging', 'biophotonics', 'Displays', 'AR/VR', 'photonic_integrated_circuits', 'PICs']""";"b""['Optoelectronics', 'Photonic integration, photonic integrated circuits', 'Semiconductor lasers', 'Photonics']"""
b'Advancing photonics technologies and application driven photonics components and the innovation ecosystem';b'ICT-37-2020';b'2020/04/22';b'Forthcoming';"b""['PICs', 'hyperspectral sensing', 'food monitoring', 'pollution detection', 'deep learning', 'photonic_integrated_circuits', 'Sensing', 'technology road-map']""";"b""['Photonic integration, photonic integrated circuits', 'Photonics', 'Semiconductor lasers', 'Optoelectronics']"""
b'Artificial intelligence for manufacturing';b'ICT-38-2020';b'2020/01/16';b'Open';b'';"b""['Manufacturing and fabrication technology', 'Manufacturing Process Simulation', 'Smart manufacturing', 'Artificial intelligence, intelligent systems, mult', 'Artificial Intelligence & Decision support', 'Ergonomic and Human factors']"""
b'Cloud Computing: towards a smart cloud computing continuum';b'ICT-40-2020';b'2020/04/22';b'Forthcoming';"b""['Network Security']""";"b""['Privacy', 'Cloud Services', 'Open Source Software', 'Real time data analytics', 'Anonymity', 'System Software', 'Computing for servers, data centres', 'Algorithms, distributed, parallel and network algo', 'Cloud computing', 'Internet and semantic web, database systems and li', 'Linked (open) data', 'Artificial intelligence, intelligent systems, mult', 'Networks (communication networks, sensor networks,', 'Software Design & Development', 'Semantic web technologies', 'Network technologies / Internetworking', 'Internet of Things', 'Cloud Architectures', 'Cloud Infrastructures', 'Information Security', 'Cloud trust & security', 'Cloud Computing models', 'Scalability', 'Trustworthy ICT']"""
b'5G PPP  5G innovations for verticals with third party services';b'ICT-41-2020';b'2020/04/22';b'Forthcoming';b'';b''
b'5G PPP  5G core technologies innovation';b'ICT-42-2020';b'2020/01/16';b'Open';b'';b''
b'Next Generation Media';b'ICT-44-2020';b'2020/01/16';b'Open';"b""['Trust', 'privacy', 'sensors', 'science', 'social media', 'blockchain', 'media literacy', 'media', 'internet of things', 'graphics', 'open access', 'multimedia', 'technology', 'business models', 'arts', 'augmented reality', 'computer vision', 'journalism', 'starts', 'data', 'distributed networks', 'trust', 'mobile', 'virtual reality', 'fact checking', 'radio', 'video', 'media convergence']""";"b""['Machine learning, statistical data processing and', 'New technologies promotion of Audio-Visual works', 'Anonymity', 'Application New tech. on Audio-Visual distribution', 'Artificial intelligence, intelligent systems, mult', 'Multi media', 'Design and applied arts - Culture', 'Trustworthy ICT', 'Computer vision', 'Computer graphics', 'Radio and Cross-Media - Culture', 'Application New tech. on Audio-Visual production', 'Digital Distribution of Audio-Visual works', 'Digital identity', 'Audiovisual Festivals/Events/Markets/Training', 'Cryptology, security, privacy, quantum crypto', 'Communication networks, media, information society', 'Computer games', 'Audio-Visual Funds and TV Broadcasters - Media', 'Computer graphics, computer vision, multi media, c', 'Business model innovation', 'Visual arts - Culture', 'New technologies for Audio-Visual sector - Media']"""
b'Reinforcing European presence in international ICT standardisation: Standardisation Observatory and Support Facility';b'ICT-45-2020';b'2019/11/13';b'Open';"b""['Standards', 'Standardisation', 'Funding standardisation experts', 'Standardisation watch', 'ICT standardisation', 'interoperability', 'Standardisation observatory']""";"b""['Networks (communication networks, sensor networks,', 'Big data', 'Intelligent Transport Systems (ITS)', 'Trustworthy ICT', 'Cloud computing', 'Cybersecurity', 'Information technologies', 'eHealth', 'Wireless communications, communication, high frequ']"""
b'Robotics in Application Areas and Coordination & Support';b'ICT-46-2020';b'2020/04/22';b'Forthcoming';"b""['Prostheses and exoskelletons']""";"b""['Food processing', 'Robotics for civil engineering', 'Robot navigation', 'Motion planning', 'Therapy and rehabilitation', 'Signal interpretation', 'Craft and bespoke manufacture', 'Modelling and knowledge engineering', 'Robotics for animal production', 'Localisation', 'Robotics for agriculture, forestry and fishing', 'Robotics for inspection and monitoring', 'Robotic sensors', 'Sensing', 'Robotic control', 'Surgical robotics', 'System engineering', 'Robotic communication', 'Robot safety', 'Natural interaction', 'Man Machine interface', 'Robotic actuators', 'Robotics for civil applications', 'Mechanical structures of robots', 'Soft products manufacture', 'Robotics for healthcare', 'Mechatronics', 'Action planning', 'Assistive robotics', 'Human robot interaction', 'Robotic system development', 'Robotics for manufacturing', 'Robotics for agriculture', 'Robotic cognition', 'Robotic perception', 'Power supply', 'Human robot collaboration', 'Learning, development and adaptation', 'Robotics for forestry', 'Industrial robot', 'Robotics', 'System integration', 'Mapping', 'Machine learning, statistical data processing and', 'System architecture', 'Robotics and automatic control', 'System design', 'Cognitive architectures', 'Robotics for fishing', 'Knowledge representation and reasoning']"""
b'Research and Innovation boosting promising robotics applications';b'ICT-47-2020';b'2020/04/22';b'Forthcoming';"b""['Micro and nano-robots', 'Prostheses and exoskelletons']""";"b""['Machine learning, statistical data processing and', 'System architecture', 'Robotics for inspection and monitoring', 'Robotics for goods transport', 'Robotic control', 'Robotic cognition', 'Motion planning', 'Robotic perception', 'Mapping', 'Warehousing', 'Mechanical structures of robots', 'Robotics for manufacturing', 'Robotics for forestry', 'Robotics for law enforcement', 'Craft and bespoke manufacture', 'Robotics', 'Robotics for transport and logistics', 'Assistive robotics', 'Robotics for search and rescue', 'Robotics for construction', 'Robotics for emergency services', 'Robot navigation', 'Robotics for entertainment', 'Power supply', 'Robotics and automatic control', 'Robotics for agriculture', 'Signal interpretation', 'Robotics for mining and quarrying', 'Robotics for science Support', 'Domestic appliances', 'Localisation', 'Robotics for commercial applications', 'Robotics for agriculture, forestry and fishing', 'Robotic system development', 'Soft products manufacture', 'Sensing', 'Surgical robotics', 'Knowledge representation and reasoning', 'Robotics for education', 'Robotics for civil engineering', 'Modelling and knowledge engineering', 'Robotics for marketing', 'Robotics for environment', 'Human robot collaboration', 'Robotics for animal production', 'Robotic sensors', 'Cognitive architectures', 'Robotics for fishing', 'Robot safety', 'Robotics for monitoring and security', 'Robotics for training', 'Industrial robot', 'Natural interaction', 'Action planning', 'System engineering', 'Robotic actuators', 'System integration', 'Robotics for civil applications', 'Therapy and rehabilitation', 'Robotics for utilities and service', 'Robotic communication', 'Robotics for healthcare', 'Robotics for people transport', 'Mechatronics', 'Man Machine interface', 'Food processing', 'Learning, development and adaptation', 'Human robot interaction', 'Assistive living', 'Robotics for consumer applications', 'System design']"""
b'Towards a vibrant European network of AI excellence centres';b'ICT-48-2020';b'2019/11/13';b'Open';"b""['Trust']""";"b""['Machine learning, statistical data processing and', 'Artificial intelligence, intelligent systems, mult', 'High performance computing', 'Modelling and knowledge engineering', 'Robot safety', 'Cybersecurity', 'Robotics', 'Scientific computing, simulation and modelling too', 'Robot navigation', 'Human computer interaction', 'Robotics and automatic control', 'Robotic perception', 'Numerical analysis, simulation, optimisation, mode', 'Mechatronics', 'Learning, development and adaptation', 'Natural language processing', 'Natural interaction', 'Robotic cognition', 'Cognitive architectures', 'Cyber-physical systems', 'Big data', 'Human robot interaction', 'Man Machine interface', 'Robotic system development', 'Computer vision', 'Automated translation', 'Action planning', 'Human robot collaboration', 'Smart objects and interaction design', 'Theoretical computer science, formal methods', 'Trustworthy ICT', 'Knowledge representation and reasoning', 'Artificial Intelligence & Decision support', 'Privacy', 'Ontologies, neural networks, genetic programming,', '(user-centric) privacy preservation', 'Web and information systems, database systems, inf', 'Interaction, Multimodal, Brain-Computer-Interfaces', 'Human computer interaction and interface, visualiz']"""
b'Artificial Intelligence on demand platform';b'ICT-49-2020';b'2020/04/22';b'Forthcoming';b'';"b""['Very large data bases', 'Robotics', 'Scientific computing, simulation and modelling too', 'Automated translation', 'Computer graphics, computer vision, multi media, c', 'Demand driven innovation', 'Software Design & Development', 'Artificial intelligence, intelligent systems, mult', 'Web and information systems, database systems, inf', 'Big data', 'Requirements Analysis', 'Software Architectures', 'eInfrastructure', 'Technological innovation', 'Knowledge and Technology transfer', 'Technology development', 'Open data', 'IT Security', 'Service innovation', 'eHealth', 'Technology implementation', 'Cybersecurity', 'Machine learning, statistical data processing and', 'Digital services', 'Internet Services & Applications']"""
b'Software Technologies';b'ICT-50-2020';b'2020/01/16';b'Open';"b""['DevOps', 'Semantic reasoning', 'Algorithmic transparency', 'Software reliability', 'Software performance', 'Secure software engineering']""";"b""['Software quality Management', 'Software testing processes and tools', 'Requirements Analysis', 'System Software', 'Systems Engineering and Design Management', 'Software engineering, operating systems, computer', 'Interoperability', 'Component-Based Software Development', 'Version Control System', 'Model Driven Software Development', 'Debugging tool', 'Open Source Software', 'Code reuse', 'Software design validation and maintenance', 'Software quality insurance', 'Software Design & Development', 'Software notation & tools', 'Agile software development', 'Integrated Development Environment (IDE)', 'Computer-aided software engineering (CASE)', 'Software Architectures']"""
b'Big Data technologies and extreme-scale analytics';b'ICT-51-2020';b'2020/01/16';b'Open';b'';"b""['Machine learning, statistical data processing and', 'Very large data bases', 'Big data', 'Real time data analytics', 'Artificial intelligence, intelligent systems, mult', 'Networks (communication networks, sensor networks,', 'Scalability', 'Data visualization', 'Data stream analysis']"""
b'5G PPP  Smart Connectivity beyond 5G ';b'ICT-52-2020';b'2020/04/22';b'Forthcoming';b'';b''
b'5G PPP  5G for Connected and Automated Mobility (CAM)';b'ICT-53-2020';b'2019/11/13';b'Open';b'';b''
b'Blockchain for the Next Generation Internet';b'ICT-54-2020';b'2020/01/16';b'Open';"b""['Internet of Things', 'Blockchain', 'Collaborative and social computing', 'social media', 'Web applications', 'Social innovation', 'Collective intelligence', 'Next generation internet', 'Start-ups', 'decentralised architectures', 'Internet architectures', 'Distributed ledger technologies', 'Distributed Social Networks', 'Trustworthy ICT', 'Web services', 'Artificial intelligence, intelligent systems']""";"b""['Digital identity', 'Internet of Things', 'Internet Services & Applications', 'Collaborative and social computing', 'Privacy', 'Social innovation', 'Web and information systems, database systems, inf', 'Communication networks, media, information society', 'Distributed Social Networks', 'Internet architectures', 'Collective Awareness Platforms', 'Trustworthy ICT', 'Service Engineering']"""
b'Interactive Technologies';b'ICT-55-2020';b'2019/11/13';b'Open';"b""['virtual reality', 'Interactive Technologies', 'extended reality', 'Accessibility', 'multi modal', 'Immersive technologies', 'augmented reality']""";"b""['Software Design & Development', 'Collaborative and social computing', 'Software engineering, operating systems, computer', 'Very large data bases', 'Computer graphics, computer vision, multi media, c', 'Cultural heritage - Culture', 'Artificial intelligence, intelligent systems, mult', 'Natural language processing', 'Wearable technologies', 'Smart objects and interaction design', 'Multi media', 'Computer graphics', 'Open Source Software', 'Theoretical computer science, formal methods', 'Interaction, Multimodal, Brain-Computer-Interfaces', 'Virtual reality centre (digital makeup of an archi', 'Simulation and design tools', 'Human computer interaction', 'Non mobile interactive devices', 'Mobile devices', 'Ergonomic and Human factors', 'Software Architectures', 'Computer games', 'Machine translation', 'Users and interactive retrieval', 'Real time data analytics', '(user-centric) privacy preservation', 'Computer vision', 'Human computer interaction and interface, visualiz']"""
b'Next Generation Internet of Things';b'ICT-56-2020';b'2020/01/16';b'Open';b'';"b""['Internet of Things', 'Cybersecurity', 'Ontologies, neural networks, genetic programming,', 'Artificial intelligence, intelligent systems, mult', 'Human computer interaction', '(user-centric) privacy preservation', 'Networks (communication networks, sensor networks,', 'Interaction, Multimodal, Brain-Computer-Interfaces', 'Mobile Sensor devices', 'Software engineering, operating systems, computer', 'Network technologies / Internetworking', 'Embedded computing', 'Semantic web technologies', 'Systems of systems', 'Open data', 'Cloud Architectures', 'Machine learning, statistical data processing and', 'Service oriented architectures', 'Service Engineering', 'Software Architectures', 'Software Design & Development', 'Privacy', 'Interoperability', 'Real time data analytics', 'Internet architectures', 'Open Source Software', 'Man Machine interface', 'Trust and connectivity services', 'Smart objects and interaction design']"""
b'An empowering, inclusive Next Generation Internet';b'ICT-57-2020';b'2020/04/22';b'Forthcoming';"b""['multilingual speech processing', 'speech synthesis', 'sign language detection', 'speech recognition', 'Accessibility', 'language technologies', 'sign language', 'assistive technology', 'mobile applications', 'natural language processing', 'hearing impairments']""";"b""['Artificial intelligence, intelligent systems, mult', 'Software Design & Development', 'Automated translation', 'Open Source Software', 'Users and interactive retrieval', 'Mobile devices', 'Natural language processing', 'Machine translation', 'Machine learning, statistical data processing and', 'Human computer interaction']"""
b'International partnership building between European and African innovation hubs';b'ICT-58-2020';b'2020/04/22';b'Forthcoming';b'';b''
b'Design Studies';b'INFRADEV-01-2019-2020';b'2019/11/12';b'Open';"b""['INFRADEV-02-2019-2020', 'new research services', 'facilities', 'INFRADEV', 'design study', 'data', 'H2020-INFRADEV-2018-2020', 'research infrastructures']""";b''
b'Centres of Excellence in exascale computing';b'INFRAEDI-05-2020';b'2019/11/13';b'Open';"b""['exascale performance', 'HPC system', 'HPC applications', 'High-Performance Data Analytics', 'H2020-INFRAEDI-2018-2020', 'Personalised Medicine', 'Centre of Excellence', 'Materials Science', 'exascale', 'European HPC technologies', 'HPC', 'supercomputing', 'High Throughput Computing', 'Engineering', 'HPDA', 'INFRAEDI', 'Artificial Intelligence', 'CoE', 'Cybersecurity', 'High Performance Computing', 'INFRAEDI-05-2020']""";b''
b'Integration and consolidation of the existing pan-European access mechanism to public research infrastructures and commercial services through the EOSC Portal';b'INFRAEOSC-03-2020';b'2020/04/22';b'Forthcoming';"b""['FAIR', 'data', 'data services', 'EOSC', 'EOSC Portal', 'federated services', 'INFRAEOSC', 'scholarly communication', 'open access', 'INFRAEOSC-03-2020', 'research enabling services', 'access enabling services', 'European Open Science Cloud', 'cloud computing', 'Research Infrastructures', 'e-infrastructures', 'Open Science']""";b''
b'Increasing the service offer of the EOSC Portal';b'INFRAEOSC-07-2020';b'2020/04/22';b'Forthcoming';"b""['research enabling services', 'INFRAEOSC-07-2020', 'cloud computing', 'European Open Science Cloud', 'open access', 'scholarly communication', 'EOSC Portal', 'federated services', 'EOSC', 'Research Infrastructures', 'access enabling services', 'Open Science', 'INFRAEOSC', 'e-infrastructures', 'FAIR', 'data', 'data services']""";b''
b'Integrating Activities for Starting Communities ';b'INFRAIA-02-2020';b'2020/03/17';b'Forthcoming';"b""['INFRAIA-02-2020', 'virtual access', 'research infrastructures', 'research services', 'H2020-INFRAIA-2018-2020', 'integrating activities', 'INFRAIA', 'trans-national access', 'data', 'starting communities', 'facilities']""";b''
b'Pilot for a new model of Integrating Activities ';b'INFRAIA-03-2020';b'2020/03/17';b'Forthcoming';"b""['data', 'research services', 'virtual access', 'H2020-INFRAIA-2018-2020', 'research infrastructures', 'facilities', 'INFRAIA', 'integrating activities', 'INFRAIA-03-2020', 'trans-national access']""";b''
b'Co-Innovation platform for research infrastructure technologies';b'INFRAINNOV-03-2020';b'2020/03/17';b'Forthcoming';"b""['research infrastructure technologies', 'facilities', 'co-innovation', 'research infrastructures', 'ATTRACT', 'co-Innovation platform', 'H2020-INFRAINNOV-2019-2020', 'INFRAINNOV', 'INFRAINNOV-03-2020', 'detection and imaging technologies']""";b''
b'Innovation pilots';b'INFRAINNOV-04-2020';b'2020/03/17';b'Forthcoming';"b""['PCP', 'facilities', 'detectors for accellerators', 'innovation', 'research infrastructure technologies', 'accelerators', 'co-creation', 'light sources', 'upgrade of research infrastructures', 'INFRAINNOV', 'INFRAINNOV-04-2020', 'research infrastructures', 'construction of research infrastructures', 'pre-commercial procurement', 'H2020-INFRAINNOV-2019-2020']""";b''
b'Strengthening the human capital of research infrastructures';b'INFRASUPP-02-2020';b'2020/03/17';b'Forthcoming';"b""['research infrastructure staff', 'data', 'research infrastructures', 'H2020-INFRASUPP-2018-2020', 'INFRASUPP', 'INFRASUPP-02-2020', 'research infrastructure management', 'training', 'FAIR']""";b''
b'Cluster facilitated projects for new industrial value chains';b'INNOSUP-01-2018-2020';b'2020/04/02';b'Forthcoming';"b""['clusters', 'SME', 'innosup', 'value chains']""";b''
b'European SME innovation Associate - pilot';b'INNOSUP-02-2019-2020';b'2020/01/15';b'Open';"b""['Biotechnology', 'innovation associate', 'innosup02', 'sme innovation associate', 'innosup', 'innosup2', 'SME', 'innovation']""";"b""['Cultural and creative economy', 'Security', 'Agriculture / Rural Development / Fisheries', 'Health', 'Space', 'Energy', 'Transport & Mobility', 'Consumer products and services', 'Engineering and technology', 'Food and beverages', 'Construction, Civil engineering, Infraestructures', 'Earth and related environmental sciences', 'Information and Communication Technology (ICT)']"""
b'Peer learning of innovation agencies';b'INNOSUP-05-2018-2020';b'2018/03/15';b'Open';"b""['peer learing innovation agencies', 'SME', 'innosup']""";b''
b'Pan-European advanced manufacturing assistance and training for SMEs';b'INNOSUP-08-2020';b'2020/12/01';b'Forthcoming';"b""['SME', 'factory of the future', 'innosup', 'advanced manufacturing assistance and training']""";"b""['SME support']"""
b'Closing the finance gap for IPR-driven start-ups and SMEs';b'INNOSUP-10-2020';b'2019/10/29';b'Open';b'';b''
b'DRUGS';b'ISFP-2019-AG-DRUGS';b'2019/11/28';b'Open';"b""['drugs', 'drugs trafficking']""";b''
