Region;Year;LastUpdateDate;id;PersEmplIDTotal;PersEmplIDTotalMuj;PersEmplIDTotalEmp;PersEmplIDTotalEmpMuj;PersEmplIDTotalAdPub;PersEmplIDTotalAdPubMuj;PersEmpIDTotalEnsSup;PersEmpIDTotalEnsSupMuj;InvIDTotal;InvIDTotalMuj;InvIDTotalEmp;InvIDTotalEmpMuj;InvIDTotalAdPub;InvIDTotalAdPubMuj;InvIDTotalEnsSup;InvIDTotalEnsSupMuj
Castilla y León;2015;2019-08-07;Castilla y León2015;8880.6;3634.2;3490.2;1030.6;910.7;481.8;4467.2;2115.6;5916.8;2408.2;1770.6;523.9;428.8;199.1;3712.9;3712.9
Castilla - La Mancha;2015;2019-08-07;Castilla - La Mancha2015;2838.1;1134.5;1248.3;421.7;498.4;236.7;1083.4;468.8;1463.3;596.9;485.4;183.3;318.8;145.6;657.9;657.9
Cataluña;2015;2019-08-07;Cataluña2015;44826.2;18861.0;21028.5;7096.1;9790.3;5084.9;13887.9;6608.6;26402.5;10476.6;10594.4;3481.9;5515.4;2530.2;10208.8;10208.8
Comunitat Valenciana;2015;2019-08-07;Valencia2015;18005.7;7234.3;6737.7;1978.3;2285.6;1281.0;8974.2;3970.5;10948.5;4225.0;3106.6;918.1;1124.6;586.3;6714.0;6714.0
Extremadura;2015;2019-08-07;Extremadura2015;1977.7;748.1;429.9;135.5;546.8;215.6;997.3;394.7;1299.1;512.3;184.0;60.4;235.7;110.7;877.7;877.7
Galicia;2015;2019-08-07;Galicia2015;9037.6;3792.0;3426.9;980.3;1380.8;831.1;4225.0;1976.9;5368.3;2153.9;1696.3;498.3;672.7;365.5;2996.8;2996.8
Madrid, Comunidad de;2015;2019-08-07;Madrid2015;47358.4;19023.9;22071.7;7238.8;12643.8;6375.5;12521.4;5332.1;28202.0;10786.4;11681.4;3693.0;5833.8;2797.1;10616.0;10616.0
Murcia, Región de;2015;2019-08-07;Murcia2015;5641.3;2329.1;1630.1;544.8;533.1;249.1;3469.6;1531.8;3705.3;1462.9;644.6;191.6;259.2;113.6;2796.0;2796.0
Navarra, Comunidad Foral de;2015;2019-08-07;Navarra2015;4565.2;1723.5;2563.1;722.6;-2;-2;-2;-2;3086.5;1144.7;1439.0;388.9;-2;-2;-2;-2
País Vasco;2015;2019-08-07;País Vasco2015;17712.0;6347.3;12475.1;3595.0;1222.1;734.4;3993.6;2003.6;11523.8;4166.0;7497.8;2209.6;603.5;295.8;3411.1;3411.1
Rioja, La;2015;2019-08-07;Rioja2015;1397.6;592.9;623.6;195.1;251.8;140.3;520.5;257.5;808.9;382.3;202.5;76.7;136.2;79.7;468.5;468.5
Ceuta;2015;2019-08-07;Ceuta2015;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Melilla;2015;2019-08-07;Melilla2015;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2
Total;2016;2019-08-07;Nacional2016;205872.9;83112.6;90129.2;27889.4;-2;20469.4;75191.1;34457.2;126633.4;49541.2;47222.3;14470.3;20663.3;9841.8;58412.6;25068.9
Andalucía;2016;2019-08-07;Andalucía2016;23121.2;9577.8;6985.8;2060.9;39972.2;2733.8;10534.6;4766.8;13208.9;5168.0;3340.1;993.3;2453.9;1108.0;7367.1;3056.4
Aragón;2016;2019-08-07;Aragón2016;5603.6;2243.6;2297.4;655.6;5519.0;591.2;2085.4;995.2;3792.4;1534.6;1273.9;389.0;601.2;255.0;1914.5;889.3
